idCurp,CURP
1,S0PY0CU2KL6YR
2,X16V5AQ25SJ71
3,6LQWGRMY7NSN6
4,JW5QCRI48JOPP
5,E0E9J3M5RMD54
6,BR1BRR4JNKT9Z
7,Y1JTMMMWVZ5SO
8,K8Y05BZODG3TU
9,WD9768W4C0SZK
10,VKMIZ1LOCP6PD
11,I1Z2L6QGXQAZP
12,C6V5RYO3TWS4C
13,CKBPEYY382NYF
14,KTY9E2FP3BWZ2
15,ZIX5OWED27CE9
16,JGMPEN53XZ8LJ
17,PLH1O8VU4IS4K
18,C1HWEH0PPKFGD
19,4G6P2RM93NK5P
20,X0EK4VV9NTGC3
21,UNXAFKH2LCW88
22,56FF6SMQ00EWZ
23,4Q5IE2NBSY7KO
24,8FEWTAWY2MEK5
25,NNVSG87SYPIR7
26,Z25HDDJSN91SN
27,PQV0SMRQS0KMZ
28,0LL64RGWCX7CT
29,IF42AX2190XMN
30,AKM3SGCXTG9V0
31,U96HFYQ7BU0VX
32,PPUE5NG4FGJZC
33,YBZUQCZXDN2BX
34,78ZYC20F4T7B4
35,NQKJ633EDFG0O
36,QE3BL1LD3J1OJ
37,YZG6UIQZ1IAEU
38,5YFKMF1M3XBRT
39,0UYORFGWOJD0P
40,5PUZUNKIHDBHI
41,6TK2EZ09UQ22E
42,AWLRZCO7SJKDF
43,FL24MYM01OIVS
44,HWG0B8QT5NR8G
45,OD2WOV26IYRCX
46,NPJQXQTFGO8TV
47,4AR5NFEYMFYGQ
48,4ADOW02X271J3
49,L6OJ4EM2LK6N6
50,HRGML12GBZK1K
51,1V3LF1694H19W
52,E90DPWWEISABC
53,XVZAFNHWSNN01
54,KXQAHP0KHRYHX
55,4U67JMENXT36W
56,O2HCZRD6GU2N0
57,XHNNTBLGBGQYM
58,E0RCK5XNWAIRR
59,QZPIGE6JORAKA
60,XMVVBBMHE7TNJ
61,YH3JAZ8XDA0BP
62,Z7U5MXLLUEO1T
63,KE8XLD4Y9ZO9O
64,DCN4RCVIUYZ61
65,F6NGE03C776YB
66,3U1K73AOPG1J4
67,1FZAVOG91WIZA
68,02JBCZL7923J1
69,L3Y0VWMGMQ8EU
70,RX9DWLS4W492Z
71,QDRT6WVVINVPL
72,3TYTYPF2OFIB0
73,5QI7W9AOXKXJJ
74,4TGUTCRSVAQ9O
75,UIRML3ZQS1U9T
76,Z48T0NWQTQACJ
77,PIVOB34I2MU15
78,CP5Z4X2R2NQW8
79,DV262M2IB10QS
80,AGWJ9F2U52VYU
81,SD70IKCAQ1ZSP
82,IU8K3YQVCD36O
83,2K11BXOE1HTRN
